iter	Passed	Remaining
0	148	147950
1	148	74156
2	149	49545
3	149	37252
4	150	29878
5	150	24953
6	151	21429
7	151	18788
8	151	16732
9	152	15087
10	152	13741
11	153	12621
12	153	11679
13	154	10866
14	154	10162
15	155	9545
16	155	9002
17	156	8520
18	156	8086
19	157	7694
20	157	7340
21	157	7021
22	158	6726
23	158	6456
24	159	6210
25	159	5983
26	160	5770
27	160	5574
28	161	5392
29	161	5228
30	162	5072
31	162	4925
32	163	4786
33	163	4654
34	164	4528
35	164	4410
36	165	4298
37	165	4191
38	166	4092
39	166	3997
40	166	3905
41	167	3819
42	167	3737
43	168	3658
44	168	3582
45	169	3510
46	169	3441
47	170	3374
48	170	3311
49	171	3250
50	171	3191
51	171	3134
52	172	3080
53	172	3028
54	173	2977
55	173	2929
56	174	2882
57	174	2837
58	175	2793
59	175	2751
60	176	2710
61	176	2671
62	177	2633
63	177	2596
64	178	2561
65	178	2526
66	179	2492
67	179	2460
68	180	2428
69	180	2397
70	181	2368
71	181	2339
72	181	2311
73	182	2283
74	182	2256
75	183	2231
76	183	2205
77	184	2180
78	184	2156
79	185	2131
80	185	2108
81	186	2086
82	186	2061
83	187	2039
84	187	2018
85	187	1997
86	188	1976
87	188	1956
88	189	1937
89	189	1918
90	190	1899
91	190	1881
92	191	1863
93	191	1849
94	192	1832
95	192	1816
96	193	1799
97	193	1783
98	194	1767
99	194	1751
100	195	1736
101	195	1721
102	196	1707
103	196	1692
104	196	1678
105	197	1665
106	197	1651
107	198	1638
108	198	1625
109	199	1613
110	199	1600
111	200	1588
112	200	1575
113	201	1563
114	201	1552
115	202	1540
116	202	1528
117	202	1517
118	203	1505
119	203	1495
120	204	1484
121	204	1473
122	205	1463
123	205	1452
124	206	1442
125	206	1433
126	206	1422
127	207	1413
128	207	1404
129	208	1394
130	208	1385
131	209	1376
132	209	1367
133	210	1358
134	210	1350
135	211	1341
136	211	1332
137	211	1324
138	212	1315
139	212	1308
140	213	1300
141	213	1292
142	214	1284
143	214	1277
144	215	1269
145	215	1261
146	216	1254
147	216	1247
148	217	1240
149	217	1233
150	218	1226
151	218	1219
152	219	1212
153	219	1205
154	219	1199
155	220	1192
156	220	1185
157	221	1179
158	222	1174
159	222	1169
160	223	1162
161	223	1155
162	223	1149
163	224	1143
164	224	1137
165	225	1132
166	225	1126
167	226	1120
168	226	1114
169	227	1109
170	227	1104
171	228	1099
172	228	1093
173	229	1088
174	229	1083
175	230	1078
176	230	1073
177	231	1067
178	231	1062
179	232	1058
180	232	1053
181	233	1048
182	233	1043
183	234	1038
184	234	1033
185	234	1028
186	235	1023
187	235	1018
188	236	1014
189	236	1010
190	237	1005
191	237	1001
192	238	997
193	239	993
194	239	989
195	240	985
196	240	980
197	241	976
198	241	972
199	242	968
200	242	964
201	243	960
202	243	956
203	243	951
204	244	947
205	244	943
206	245	939
207	245	936
208	246	932
209	246	928
210	247	924
211	247	920
212	248	917
213	248	913
214	249	909
215	249	906
216	250	903
217	250	899
218	251	896
219	251	892
220	252	889
221	252	886
222	253	882
223	253	879
224	254	875
225	254	872
226	255	868
227	255	865
228	256	862
229	256	858
230	257	855
231	257	852
232	258	849
233	258	846
234	259	843
235	259	840
236	260	837
237	260	834
238	260	830
239	261	827
240	261	824
241	262	821
242	262	818
243	263	815
244	263	812
245	264	810
246	264	807
247	265	805
248	266	803
249	267	801
250	267	798
251	268	795
252	268	793
253	269	790
254	269	787
255	270	784
256	270	782
257	271	779
258	271	776
259	271	774
260	272	771
261	272	768
262	273	765
263	273	763
264	274	760
265	274	757
266	275	755
267	275	752
268	276	750
269	276	747
270	276	744
271	277	742
272	277	739
273	278	737
274	278	734
275	279	732
276	279	729
277	280	727
278	280	725
279	281	722
280	281	720
281	282	718
282	282	716
283	283	713
284	283	711
285	284	709
286	284	707
287	285	704
288	285	702
289	286	700
290	286	697
291	286	695
292	287	693
293	287	691
294	288	688
295	288	686
296	289	684
297	289	682
298	290	680
299	290	678
300	291	676
301	291	674
302	292	672
303	292	670
304	293	668
305	293	666
306	294	663
307	294	661
308	295	659
309	295	657
310	296	656
311	296	654
312	297	652
313	297	650
314	298	648
315	298	646
316	299	644
317	299	642
318	300	640
319	300	638
320	301	636
321	301	635
322	302	633
323	302	631
324	303	629
325	303	628
326	304	626
327	304	624
328	305	622
329	305	620
330	306	618
331	306	616
332	307	615
333	307	613
334	308	611
335	308	609
336	308	607
337	309	606
338	309	604
339	310	602
340	310	600
341	311	598
342	311	597
343	312	595
344	312	593
345	313	592
346	313	590
347	314	588
348	314	587
349	315	585
350	315	583
351	316	582
352	316	580
353	317	579
354	317	577
355	318	575
356	318	574
357	319	572
358	319	571
359	320	569
360	320	567
361	321	566
362	321	564
363	322	563
364	322	561
365	323	559
366	323	558
367	324	556
368	324	555
369	325	553
370	325	552
371	326	550
372	326	549
373	327	547
374	327	546
375	328	545
376	329	543
377	329	542
378	329	540
379	330	539
380	330	537
381	331	536
382	331	534
383	332	532
384	332	531
385	333	529
386	333	528
387	333	526
388	334	525
389	334	523
390	335	522
391	335	520
392	336	519
393	336	517
394	337	516
395	337	514
396	337	513
397	338	511
398	338	510
399	339	509
400	339	507
401	340	506
402	340	504
403	341	503
404	341	502
405	342	500
406	342	499
407	343	497
408	343	496
409	343	494
410	344	493
411	344	492
412	345	490
413	345	489
414	346	488
415	346	486
416	347	485
417	347	484
418	348	482
419	348	481
420	349	480
421	349	478
422	350	477
423	350	476
424	351	475
425	351	473
426	352	472
427	352	471
428	353	469
429	353	468
430	354	467
431	354	466
432	355	464
433	355	463
434	356	462
435	356	461
436	357	460
437	357	458
438	358	457
439	358	456
440	359	455
441	359	454
442	360	452
443	360	451
444	361	450
445	361	449
446	362	447
447	362	446
448	363	445
449	363	444
450	364	443
451	364	441
452	364	440
453	365	439
454	365	438
455	366	437
456	366	436
457	367	434
458	367	433
459	368	432
460	368	431
461	369	430
462	369	428
463	370	427
464	370	426
465	371	425
466	371	424
467	372	423
468	372	422
469	373	421
470	373	419
471	374	418
472	374	417
473	375	416
474	375	415
475	376	414
476	376	412
477	377	411
478	377	410
479	378	409
480	378	408
481	378	407
482	379	406
483	379	404
484	380	403
485	380	402
486	381	401
487	381	400
488	382	399
489	382	398
490	383	397
491	383	396
492	383	394
493	384	393
494	384	392
495	385	391
496	385	390
497	386	389
498	386	388
499	387	387
500	387	386
501	388	385
502	388	384
503	389	383
504	389	382
505	390	381
506	390	379
507	391	378
508	391	377
509	392	376
510	392	375
511	393	374
512	393	373
513	394	372
514	394	371
515	395	370
516	395	369
517	396	368
518	396	367
519	396	366
520	397	365
521	397	364
522	398	363
523	398	362
524	399	361
525	399	360
526	400	359
527	400	358
528	401	357
529	401	356
530	402	355
531	402	354
532	403	353
533	403	352
534	404	351
535	404	350
536	405	349
537	405	348
538	405	347
539	406	346
540	406	345
541	407	344
542	407	343
543	408	342
544	408	341
545	408	340
546	409	339
547	409	338
548	410	337
549	410	336
550	411	335
551	411	334
552	412	333
553	412	332
554	412	331
555	413	330
556	413	329
557	414	328
558	414	327
559	415	326
560	415	325
561	416	324
562	416	323
563	416	322
564	417	321
565	417	320
566	418	319
567	418	318
568	419	317
569	419	316
570	419	315
571	420	314
572	420	313
573	421	312
574	421	311
575	422	310
576	422	310
577	423	309
578	423	308
579	424	307
580	424	306
581	425	305
582	425	304
583	426	303
584	426	302
585	426	301
586	427	300
587	427	299
588	428	298
589	428	297
590	429	296
591	429	295
592	429	295
593	430	294
594	430	293
595	431	292
596	431	291
597	432	290
598	432	289
599	433	288
600	433	288
601	434	287
602	434	286
603	435	285
604	435	284
605	436	283
606	436	282
607	437	281
608	437	280
609	438	280
610	438	279
611	439	278
612	439	277
613	440	276
614	440	275
615	440	274
616	441	273
617	441	273
618	442	272
619	442	271
620	442	270
621	443	269
622	443	268
623	444	267
624	444	266
625	444	265
626	445	264
627	445	264
628	446	263
629	446	262
630	446	261
631	447	260
632	447	259
633	448	258
634	448	258
635	449	257
636	449	256
637	450	255
638	450	254
639	451	253
640	451	252
641	452	252
642	452	251
643	452	250
644	453	249
645	453	248
646	454	247
647	454	246
648	455	246
649	455	245
650	455	244
651	456	243
652	456	242
653	457	241
654	457	241
655	458	240
656	458	239
657	458	238
658	459	237
659	459	236
660	460	236
661	460	235
662	461	234
663	461	233
664	462	232
665	462	232
666	463	231
667	463	230
668	463	229
669	464	228
670	464	227
671	465	227
672	465	226
673	466	225
674	466	224
675	467	223
676	467	223
677	467	222
678	468	221
679	468	220
680	469	219
681	469	218
682	470	218
683	470	217
684	471	216
685	471	215
686	471	215
687	472	214
688	472	213
689	473	212
690	473	211
691	474	211
692	474	210
693	474	209
694	475	208
695	475	207
696	476	207
697	476	206
698	477	205
699	477	204
700	478	203
701	478	203
702	479	202
703	479	201
704	479	200
705	480	200
706	480	199
707	481	198
708	481	197
709	482	196
710	482	196
711	483	195
712	483	194
713	484	193
714	484	193
715	484	192
716	485	191
717	485	190
718	486	190
719	486	189
720	487	188
721	487	187
722	488	187
723	488	186
724	489	185
725	489	184
726	490	184
727	490	183
728	490	182
729	491	181
730	491	181
731	492	180
732	492	179
733	493	178
734	493	178
735	494	177
736	494	176
737	494	175
738	495	174
739	495	174
740	496	173
741	496	172
742	497	171
743	497	171
744	498	170
745	498	169
746	498	168
747	499	168
748	499	167
749	500	166
750	500	166
751	501	165
752	501	164
753	502	163
754	502	163
755	503	162
756	503	161
757	503	160
758	504	160
759	504	159
760	505	158
761	505	157
762	506	157
763	506	156
764	506	155
765	507	155
766	508	154
767	508	153
768	508	152
769	509	152
770	509	151
771	510	150
772	510	149
773	511	149
774	511	148
775	511	147
776	512	147
777	512	146
778	513	145
779	513	144
780	514	144
781	514	143
782	515	142
783	515	142
784	515	141
785	516	140
786	516	139
787	517	139
788	517	138
789	518	137
790	518	137
791	519	136
792	519	135
793	519	134
794	520	134
795	520	133
796	521	132
797	521	132
798	522	131
799	522	130
800	523	129
801	523	129
802	524	128
803	524	127
804	524	127
805	525	126
806	525	125
807	526	124
808	526	124
809	526	123
810	527	122
811	527	122
812	528	121
813	528	120
814	528	120
815	529	119
816	529	118
817	530	117
818	530	117
819	530	116
820	531	115
821	531	115
822	532	114
823	532	113
824	533	113
825	533	112
826	533	111
827	534	111
828	534	110
829	535	109
830	535	108
831	536	108
832	536	107
833	537	106
834	537	106
835	538	105
836	538	104
837	539	104
838	539	103
839	540	102
840	540	102
841	541	101
842	541	100
843	541	100
844	542	99
845	542	98
846	543	98
847	543	97
848	544	96
849	544	96
850	545	95
851	545	94
852	546	94
853	546	93
854	547	92
855	547	92
856	548	91
857	548	90
858	549	90
859	549	89
860	550	88
861	550	88
862	550	87
863	551	86
864	551	86
865	552	85
866	552	84
867	553	84
868	553	83
869	554	82
870	554	82
871	555	81
872	555	80
873	556	80
874	556	79
875	557	78
876	558	78
877	558	77
878	559	76
879	559	76
880	560	75
881	560	75
882	561	74
883	561	73
884	562	73
885	562	72
886	563	71
887	563	71
888	563	70
889	564	69
890	564	69
891	565	68
892	565	67
893	566	67
894	566	66
895	567	65
896	567	65
897	568	64
898	568	63
899	569	63
900	569	62
901	570	61
902	570	61
903	571	60
904	571	59
905	571	59
906	572	58
907	572	58
908	573	57
909	573	56
910	574	56
911	574	55
912	575	54
913	575	54
914	575	53
915	576	52
916	576	52
917	577	51
918	577	50
919	578	50
920	578	49
921	579	48
922	579	48
923	579	47
924	580	47
925	581	46
926	581	45
927	581	45
928	582	44
929	582	43
930	583	43
931	583	42
932	584	41
933	584	41
934	585	40
935	585	40
936	585	39
937	586	38
938	586	38
939	587	37
940	587	36
941	587	36
942	588	35
943	588	34
944	589	34
945	589	33
946	590	33
947	590	32
948	590	31
949	591	31
950	591	30
951	592	29
952	592	29
953	593	28
954	593	27
955	593	27
956	594	26
957	594	26
958	595	25
959	595	24
960	596	24
961	596	23
962	597	22
963	597	22
964	597	21
965	598	21
966	598	20
967	599	19
968	599	19
969	600	18
970	600	17
971	600	17
972	601	16
973	601	16
974	602	15
975	602	14
976	603	14
977	603	13
978	604	12
979	604	12
980	605	11
981	605	11
982	605	10
983	606	9
984	606	9
985	607	8
986	607	8
987	608	7
988	608	6
989	609	6
990	609	5
991	609	4
992	610	4
993	610	3
994	611	3
995	611	2
996	612	1
997	612	1
998	613	0
999	613	0
